row_id,customer_message,expected_intent,predicted_intent,intent_confidence,retrieval_score,escalation_decision,escalation_reason,historical_response,draft_reply
0,@AmazonHelp Je viens de voir le rapport détaillé ils disent avoir envoyer mais ma tante n’a pas reçu,missing_delivery,other,0.10648316217731105,0.33621358433701637,AUTO_HANDLE,Non-sensitive intent has sufficient historical grounding for an automated draft.,@277007 Je vous propose de contacter notre SAV via : https://t.co/qzuu0dgDXz afin de vérifier le suivi et vous proposer une solution. ^MH,"I understand your concern. Please provide a few more details about the issue so it can be reviewed.

No sufficiently similar historical resolution was found, so this draft uses a general response for the predicted intent."
1,@AmazonHelp Yes was supposed to be today.,shipping_information,missing_delivery,0.13334671758672856,0.7224591506915026,AUTO_HANDLE,Non-sensitive intent has sufficient historical grounding for an automated draft.,"@807856 I understand, Jessica. Deliveries are typically made until 8pm. Has this time passed for you yet? ^JP","I understand that your order has not arrived as expected. Please check the latest delivery status and estimated delivery date in your Amazon order details.

Similar Amazon support guidance: I understand, Jessica. Deliveries are typically made until 8pm. Has this time passed for you yet?"
2,@AmazonHelp 48hrs completed. No action from your team. Is this the quality of Amazon resolution team?,other,other,0.10724463177552013,0.3345292334770808,AUTO_HANDLE,Non-sensitive intent has sufficient historical grounding for an automated draft.,@121902 You may reach out to our support team via phone/chat/email here: https://t.co/2t6DQoUmNZ. ^MM,"I understand your concern. Please provide a few more details about the issue so it can be reviewed.

No sufficiently similar historical resolution was found, so this draft uses a general response for the predicted intent."
3,"@AmazonHelp Hi, please can you advise if this Xbox bundle contains the original minecraft game?

https://t.co/8qo1hnVpeK",device_product,delivery_tracking,0.14027149294113953,0.327503963399922,AUTO_HANDLE,Non-sensitive intent has sufficient historical grounding for an automated draft.,"@628841 As mentioned on the form, an answer will be sent to you within 12 hours. ^MH","I can help you check the latest tracking information for your Amazon order. Please check the tracking details in your order or provide the relevant order information.

No sufficiently similar historical resolution was found, so this draft uses a general response for the predicted intent."
4,Worst return/replacement service https://t.co/Tbdsvdo1rv,return_refund,return_refund,0.21982592261233957,0.5374153304075527,ESCALATE,Human review recommended for sensitive return_refund case.,"@384244 I understand your concern, Amit. Please reply to the email you've received from us and we'll get back to you. ^HD","I understand that you need help with a return or refund. Please check the return or refund status in your Amazon order details.

Similar Amazon support guidance: I understand your concern, Amit. Please reply to the email you've received from us and we'll get back to you.

Human review is recommended before sending a final response because this case may involve account, payment, or refund information."
5,@AmazonHelp I filed a claim as soon as it happened. I have that page bookmarked now b/c this happens so often. AMZL is a terrible service. It's shameful,missing_delivery,promotion,0.11519023771441934,0.45729320013552704,AUTO_HANDLE,Non-sensitive intent has sufficient historical grounding for an automated draft.,@505116 for more information. Appreciate your patience. (2/2) ^MO,"I understand that you are having an issue with a promotion or offer. Please check the promotion terms and eligibility associated with the order.

Similar Amazon support guidance: for more information. Appreciate your patience. (2/2)"
6,Echo Dot users in India-what is the software version you are running?Can't get my dot to connect to any indian services  @115850 #echodot,device_product,delivery_tracking,0.15371493492188362,0.4917876063291863,AUTO_HANDLE,Non-sensitive intent has sufficient historical grounding for an automated draft.,@255139 ブラウザのキャッシュ、cookieの消去をお試しいただけますでしょうか。解決されない場合は、カスタマーサービスへお問い合わせください→https://t.co/J6YEizo6qC SK,"I can help you check the latest tracking information for your Amazon order. Please check the tracking details in your order or provide the relevant order information.

Similar Amazon support guidance: ブラウザのキャッシュ、cookieの消去をお試しいただけますでしょうか。解決されない場合は、カスタマーサービスへお問い合わせください→ SK"
7,"@AmazonHelp Hello Amazon, Vous deviez me rembourser ma commande  1/2",return_refund,other,0.21088727228336074,0.4058901851372174,AUTO_HANDLE,Non-sensitive intent has sufficient historical grounding for an automated draft.,"@420614 Bonjour, le retour du colis et son traitement peut encore durer quelques jours. Avez-vous contacté notre SAV pour cela ?^MH","I understand your concern. Please provide a few more details about the issue so it can be reviewed.

No sufficiently similar historical resolution was found, so this draft uses a general response for the predicted intent."
8,"estimado  @115851  tengo 4 mese esperando un pedido de @115821 mexico 
y no hay nadie que de solucion",missing_delivery,other,0.10648316217731105,0.2653907355258091,AUTO_HANDLE,Non-sensitive intent has sufficient historical grounding for an automated draft.,@450119 Sure! If you have any questions we are here to help! 😄 ^KS,"I understand your concern. Please provide a few more details about the issue so it can be reviewed.

No sufficiently similar historical resolution was found, so this draft uses a general response for the predicted intent."
9,@115850 Is feels like we are getting fooled by purchasing item during offers. Bought one item during offer. Product was defective so opt for replacement but it didn't happened so you refund the amount by subtracting the offer value and that too in Amazon pay. Simply fooling us. https://t.co/9AMF6DAiIg,promotion,return_refund,0.12146416583299077,0.29827733840138565,ESCALATE,Human review recommended for sensitive return_refund case.,@379494 That's quite a remark. I would like to help! May I know what went wrong? ^HR,"I understand that you need help with a return or refund. Please check the return or refund status in your Amazon order details.

No sufficiently similar historical resolution was found, so this draft uses a general response for the predicted intent.

Human review is recommended before sending a final response because this case may involve account, payment, or refund information."
10,"For the love of god, @117086, need some help here.",other,other,0.21175837905308978,0.7161836534988932,AUTO_HANDLE,Non-sensitive intent has sufficient historical grounding for an automated draft.,@222540 Please get in touch with us here:https://t.co/JzP7hlA23B ^CN,"I understand your concern. Please provide a few more details about the issue so it can be reviewed.

Similar Amazon support guidance: Please get in touch with us here:"
11,"Gute Arbeit @116316. Euer Kundenservice war so gut, dass ich nicht mehr bei euch einkaufen möchte. Mein Prime Abo wird dann nun auch mal nach 5 Jahren gekündigt.",other,prime_video,0.3550462353868553,0.24894840021580783,AUTO_HANDLE,Non-sensitive intent has sufficient historical grounding for an automated draft.,@366913 Die Nachfrage läuft - wir melden uns bei dir zurück! Versprochen! Lieben Gruß ^SM,"I understand that you are having trouble with Prime Video. Please check the app, device and account settings. If the issue continues, Amazon Support can help investigate it.

No sufficiently similar historical resolution was found, so this draft uses a general response for the predicted intent."
12,@122232 @115830 Maybe @AmazonHelp can help? Maybe? Anyone?,other,other,0.2737464694509321,0.9679092740347007,AUTO_HANDLE,Non-sensitive intent has sufficient historical grounding for an automated draft.,"@202189 I'm sorry for the discrepancy in information! Without posting any account details, can you let us know what's going on. ^BV","I understand your concern. Please provide a few more details about the issue so it can be reviewed.

Similar Amazon support guidance: I'm sorry for the discrepancy in information! Without posting any account details, can you let us know what's going on."
13,@AmazonHelp Gracias Amazon! Son los mejores! Gracias ^AD,other,device_product,0.13557625960877492,0.5786998508957351,AUTO_HANDLE,Non-sensitive intent has sufficient historical grounding for an automated draft.,@143191 Gracias Daniel. ¡Que disfrutes el Black Friday amigo! ^JJ,"I understand that you are having an issue with an Amazon device or product. Please provide the product details and describe the issue so it can be reviewed.

Similar Amazon support guidance: Gracias Daniel. ¡Que disfrutes el Black Friday amigo!"
14,@AmazonHelp Yes seller account in India,account_issue,account_issue,0.2970002143262905,0.6116535824050093,ESCALATE,Human review recommended for sensitive account_issue case.,"@532172 Are you getting an error message when trying to log in to KDP? If so, what does it say? This will help us help you. ^RM","I understand that you are having trouble with your Amazon account. Please follow the appropriate sign-in or account recovery steps.

Similar Amazon support guidance: Are you getting an error message when trying to log in to KDP? If so, what does it say? This will help us help you.

Human review is recommended before sending a final response because this case may involve account, payment, or refund information."
15,"@AmazonHelp 'Undeliverable' but you have regularly delivered to that address before, including recently.",missing_delivery,other,0.12073961103005136,0.3768451728787235,AUTO_HANDLE,Non-sensitive intent has sufficient historical grounding for an automated draft.,"@216557 Sorry for the inconvenience, we do not have access to your account, please contact our Customer Service for more information. ^AZ","I understand your concern. Please provide a few more details about the issue so it can be reviewed.

No sufficiently similar historical resolution was found, so this draft uses a general response for the predicted intent."
16,@AmazonHelp can you send me a seat plan  of amazon deck 109 please,other,other,0.1712803170501921,0.6050448618848949,AUTO_HANDLE,Non-sensitive intent has sufficient historical grounding for an automated draft.,@629677 Was the venue able to let you know where Deck 109 is? They will be best position to tell you the exact location. ^DD,"I understand your concern. Please provide a few more details about the issue so it can be reviewed.

Similar Amazon support guidance: Was the venue able to let you know where Deck 109 is? They will be best position to tell you the exact location."
17,@AmazonHelp You are absolutely wrong. I didn't receive any email today. Now you are starting false statements in media portal. @72659 @132995 @218502,other,shipping_information,0.13522872577993833,0.46799544007148697,AUTO_HANDLE,Non-sensitive intent has sufficient historical grounding for an automated draft.,@410967 You can check the correspondence sent by our team here:https://t.co/8DAc10S7ww ^EM,"I can help with shipping information. Please check the estimated delivery date and tracking details associated with your order.

Similar Amazon support guidance: You can check the correspondence sent by our team here:"
18,Cancelling Amazon Prime is hard. Four times I clicked end and it sent me to a new page asking if I am sure.,other,other,0.11250936897581418,0.3538234271126091,AUTO_HANDLE,Non-sensitive intent has sufficient historical grounding for an automated draft.,"@239949 I'm sorry for the trouble! Let's go over your available options here: 
 https://t.co/hApLpM3Ejd  ^LL","I understand your concern. Please provide a few more details about the issue so it can be reviewed.

No sufficiently similar historical resolution was found, so this draft uses a general response for the predicted intent."
19,@AmazonHelp The latest Android one. There used to be a drawing pen option here https://t.co/d8s1AEus6N,other,order_issue,0.1184275392142966,0.3919140849159988,AUTO_HANDLE,Non-sensitive intent has sufficient historical grounding for an automated draft.,@414119 We'd like to check that for you. Get in touch here: https://t.co/hApLpMlfHN and we'll be happy to help.^RS,"I understand that there is an issue with your order or the item you received. Please provide the relevant order details so the issue can be reviewed.

No sufficiently similar historical resolution was found, so this draft uses a general response for the predicted intent."
20,"@115830 any reason why the delivery driver left my package inside my food bin on my driveway? I'll be returning the item as I can't help but feel that it smells like rotting vegetables now!! Seriously, why?!",missing_delivery,missing_delivery,0.15078459895802016,0.28791566474536345,AUTO_HANDLE,Non-sensitive intent has sufficient historical grounding for an automated draft.,"@208741 So sorry about this, Rebecca! We want to look into this with you. Please reach out to us here: https://t.co/JzP7hlA23B. ^VB","I understand that your order has not arrived as expected. Please check the latest delivery status and estimated delivery date in your Amazon order details.

No sufficiently similar historical resolution was found, so this draft uses a general response for the predicted intent."
21,"@AmazonHelp Yes, I've gone through all of the steps. What else can I do?",other,shipping_information,0.1396670128027131,0.559919931937888,AUTO_HANDLE,Non-sensitive intent has sufficient historical grounding for an automated draft.,@187800 I'm sorry you received an unwanted replacement. I'm not seeing your message yet. Have you used the form ^ST provided? ^BH,"I can help with shipping information. Please check the estimated delivery date and tracking details associated with your order.

Similar Amazon support guidance: I'm sorry you received an unwanted replacement. I'm not seeing your message yet. Have you used the form provided?"
22,@AmazonHelp Please update on priority.,other,other,0.15117070817852743,0.5721168723803021,AUTO_HANDLE,Non-sensitive intent has sufficient historical grounding for an automated draft.,@165091 Please reply to our correspondence sent to your registered email account &amp; we'll get back to you with an update. You may find all the correspondences from us here: https://t.co/NTkrxpsbHJ. ^MJ,"I understand your concern. Please provide a few more details about the issue so it can be reviewed.

Similar Amazon support guidance: Please reply to our correspondence sent to your registered email account &amp; we'll get back to you with an update. You may find all the correspondences from us here:"
23,"@AmazonHelp Das habe ich ja schon alles probiert. Ich habe gerade noch was anderes bestellt also an mir liegt das nicht.

Der Artikel wurde von 3 Verschiedenen Personen bereits versucht zu bestellen.",order_issue,payment_billing,0.160501359059588,0.33760969308323696,ESCALATE,Human review recommended for sensitive payment_billing case.,@791883 Alles klar. :) Dein Feedback habe ich weitergegeben. ^BB,"I understand your concern about the payment or charge. Please check the transaction details in your Amazon account. If the charge is still unclear, Amazon Support can review the transaction.

No sufficiently similar historical resolution was found, so this draft uses a general response for the predicted intent.

Human review is recommended before sending a final response because this case may involve account, payment, or refund information."
24,"@AmazonHelp Thanks for the quick response. I spoke w/ someone yesterday, &amp; although they were very nice, they told me they couldn’t do anything to help",other,other,0.26675160633865813,0.6213664489218838,AUTO_HANDLE,Non-sensitive intent has sufficient historical grounding for an automated draft.,"@763627 No problem, glad to help! 🙏 ^PJ","I understand your concern. Please provide a few more details about the issue so it can be reviewed.

Similar Amazon support guidance: No problem, glad to help! 🙏"
25,"Cher @AmazonHelp pouvez-vous m'expliquer pourquoi depuis quelques temps, vos suivis de colis sont devenus complètement absurdes et on ne peut plus rien tracer ? Même en allant sur le site du transporteur que vous nommez il me sort ""numéro de colis introuvable"" !",shipping_information,delivery_tracking,0.1270341262464514,0.3512507446902701,AUTO_HANDLE,Non-sensitive intent has sufficient historical grounding for an automated draft.,"@528903 Bonjour, pouvez-vous nous donner plus de détails par rapport au colis que vous recevez ? ^ME","I can help you check the latest tracking information for your Amazon order. Please check the tracking details in your order or provide the relevant order information.

No sufficiently similar historical resolution was found, so this draft uses a general response for the predicted intent."
26,@AmazonHelp I was told today.  But I show nothing on tracking except for the diff order.   I have never had issues like this,delivery_tracking,delivery_tracking,0.11868769449330033,0.2906585812258448,AUTO_HANDLE,Non-sensitive intent has sufficient historical grounding for an automated draft.,"@187804 This isn't the experience we want you to have. Are you waiting on a late package, or did you receive a damaged item? ^BH","I can help you check the latest tracking information for your Amazon order. Please check the tracking details in your order or provide the relevant order information.

No sufficiently similar historical resolution was found, so this draft uses a general response for the predicted intent."
27,Me encanta cuando @115821 te dice: entrega prevista el 26 de octubre y a día 31 aun estás esperando... 😑 #noesbien,missing_delivery,other,0.14625697325829357,0.3313878514784214,AUTO_HANDLE,Non-sensitive intent has sufficient historical grounding for an automated draft.,@217955 Entiendo. ¿El producto es vendido y enviado por Amazon o por un vendedor externo? ^LG,"I understand your concern. Please provide a few more details about the issue so it can be reviewed.

No sufficiently similar historical resolution was found, so this draft uses a general response for the predicted intent."
28,@AmazonHelp why is one of your delivery drivers playing their music so loud I can hear it from across the street with doors &amp; windows closed,other,missing_delivery,0.10656733681158745,0.38182843384708665,AUTO_HANDLE,Non-sensitive intent has sufficient historical grounding for an automated draft.,@145895 Apologies again Craig. Have you a delivery preference set up? Please get in touch -  https://t.co/JzP7hlA23B we'd like to escalate this further with the carrier. ^TP,"I understand that your order has not arrived as expected. Please check the latest delivery status and estimated delivery date in your Amazon order details.

No sufficiently similar historical resolution was found, so this draft uses a general response for the predicted intent."
29,@AmazonHelp But the products still shows under exchange,return_refund,missing_delivery,0.11694919753513659,0.6230333034407922,AUTO_HANDLE,Non-sensitive intent has sufficient historical grounding for an automated draft.,"@172546 We have responded to your query here: https://t.co/OEghc7eYxh, please check and do the needful. ^AH","I understand that your order has not arrived as expected. Please check the latest delivery status and estimated delivery date in your Amazon order details.

Similar Amazon support guidance: We have responded to your query here: please check and do the needful."
30,@AmazonHelp No technicians came to check the phone. Now what should I do with this defective piece that you have supplied.,device_product,shipping_information,0.11019921234272126,0.5570176867102619,AUTO_HANDLE,Non-sensitive intent has sufficient historical grounding for an automated draft.,@715026 Apologies for the experience. Please reach us from here: https://t.co/rS49hgaADF we'll look into this and assist you. ^SV,"I can help with shipping information. Please check the estimated delivery date and tracking details associated with your order.

Similar Amazon support guidance: Apologies for the experience. Please reach us from here: we'll look into this and assist you."
31,"Again same thing happened @115850 
Product not received still saying delivered https://t.co/I18nQCHK51",missing_delivery,order_issue,0.16882558170062972,0.5551264710247136,AUTO_HANDLE,Non-sensitive intent has sufficient historical grounding for an automated draft.,"@732633 I'm very sorry to hear this, Melissa! This is not the service we want for our customers! I'd like for a member of my team to look into this further. When you have a free moment, please tell us more here: https://t.co/e3bKPftVNu ^HM","I understand that there is an issue with your order or the item you received. Please provide the relevant order details so the issue can be reviewed.

Similar Amazon support guidance: I'm very sorry to hear this, Melissa! This is not the service we want for our customers! I'd like for a member of my team to look into this further. When you have a free moment, please tell us more here:"
32,@AmazonHelp I didn't get my Voucher details and customer care is playing with me by giving different statements. Worst service. @7189 https://t.co/cQtVjdpogW,promotion,order_issue,0.10799415847350456,0.3947092761699834,AUTO_HANDLE,Non-sensitive intent has sufficient historical grounding for an automated draft.,@292687 Seems like you had an unpleasant experience. Please let us know what went wrong. ^KA,"I understand that there is an issue with your order or the item you received. Please provide the relevant order details so the issue can be reviewed.

No sufficiently similar historical resolution was found, so this draft uses a general response for the predicted intent."
33,Now ANOTHER Prime order from @115821 is not being delivered within the Prime window. It's taking an extra week. WHY DID I BUY PRIME?!,missing_delivery,prime_video,0.17286136148860456,0.3743667495515655,AUTO_HANDLE,Non-sensitive intent has sufficient historical grounding for an automated draft.,"@766649 Two-Day Shipping is transit time, once shipped. Product availability/additional preparation time can affect your delivery date. We show the delivery date at checkout. We are happy to assist here https://t.co/YTbYftENcr if they are arriving after the promised date. ^BE","I understand that you are having trouble with Prime Video. Please check the app, device and account settings. If the issue continues, Amazon Support can help investigate it.

No sufficiently similar historical resolution was found, so this draft uses a general response for the predicted intent."
34,I just have to say – fuck Amazon Prime Now couriers. I just had the worst experience with one over the phone and he canceled my order,order_issue,order_issue,0.15401544927199048,0.4630999181511886,AUTO_HANDLE,Non-sensitive intent has sufficient historical grounding for an automated draft.,"@663017 Oh no! I'm sorry for the not so great experience, Heather. Without account details, please tell us what's going on. We'd like to help, if possible! ^AB","I understand that there is an issue with your order or the item you received. Please provide the relevant order details so the issue can be reviewed.

Similar Amazon support guidance: Oh no! I'm sorry for the not so great experience, Heather. Without account details, please tell us what's going on. We'd like to help, if possible!"
