text,intent
@AmazonHelp Je viens de voir le rapport détaillé ils disent avoir envoyer mais ma tante n’a pas reçu,missing_delivery
@AmazonHelp Yes was supposed to be today.,shipping_information
@AmazonHelp 48hrs completed. No action from your team. Is this the quality of Amazon resolution team?,other
"@AmazonHelp Hi, please can you advise if this Xbox bundle contains the original minecraft game?

https://t.co/8qo1hnVpeK",device_product
Worst return/replacement service https://t.co/Tbdsvdo1rv,return_refund
@AmazonHelp I filed a claim as soon as it happened. I have that page bookmarked now b/c this happens so often. AMZL is a terrible service. It's shameful,missing_delivery
Echo Dot users in India-what is the software version you are running?Can't get my dot to connect to any indian services  @115850 #echodot,device_product
"@AmazonHelp Hello Amazon, Vous deviez me rembourser ma commande  1/2",return_refund
"estimado  @115851  tengo 4 mese esperando un pedido de @115821 mexico 
y no hay nadie que de solucion",missing_delivery
@115850 Is feels like we are getting fooled by purchasing item during offers. Bought one item during offer. Product was defective so opt for replacement but it didn't happened so you refund the amount by subtracting the offer value and that too in Amazon pay. Simply fooling us. https://t.co/9AMF6DAiIg,promotion
"For the love of god, @117086, need some help here.",other
"Gute Arbeit @116316. Euer Kundenservice war so gut, dass ich nicht mehr bei euch einkaufen möchte. Mein Prime Abo wird dann nun auch mal nach 5 Jahren gekündigt.",other
@122232 @115830 Maybe @AmazonHelp can help? Maybe? Anyone?,other
@AmazonHelp Gracias Amazon! Son los mejores! Gracias ^AD,other
@AmazonHelp Yes seller account in India,account_issue
"@AmazonHelp 'Undeliverable' but you have regularly delivered to that address before, including recently.",missing_delivery
@AmazonHelp can you send me a seat plan  of amazon deck 109 please,other
@AmazonHelp You are absolutely wrong. I didn't receive any email today. Now you are starting false statements in media portal. @72659 @132995 @218502,other
Cancelling Amazon Prime is hard. Four times I clicked end and it sent me to a new page asking if I am sure.,other
@AmazonHelp The latest Android one. There used to be a drawing pen option here https://t.co/d8s1AEus6N,other
"@115830 any reason why the delivery driver left my package inside my food bin on my driveway? I'll be returning the item as I can't help but feel that it smells like rotting vegetables now!! Seriously, why?!",missing_delivery
"@AmazonHelp Yes, I've gone through all of the steps. What else can I do?",other
@AmazonHelp Please update on priority.,other
"@AmazonHelp Das habe ich ja schon alles probiert. Ich habe gerade noch was anderes bestellt also an mir liegt das nicht.

Der Artikel wurde von 3 Verschiedenen Personen bereits versucht zu bestellen.",order_issue
"@AmazonHelp Thanks for the quick response. I spoke w/ someone yesterday, &amp; although they were very nice, they told me they couldn’t do anything to help",other
"Cher @AmazonHelp pouvez-vous m'expliquer pourquoi depuis quelques temps, vos suivis de colis sont devenus complètement absurdes et on ne peut plus rien tracer ? Même en allant sur le site du transporteur que vous nommez il me sort ""numéro de colis introuvable"" !",shipping_information
@AmazonHelp I was told today.  But I show nothing on tracking except for the diff order.   I have never had issues like this,delivery_tracking
Me encanta cuando @115821 te dice: entrega prevista el 26 de octubre y a día 31 aun estás esperando... 😑 #noesbien,missing_delivery
@AmazonHelp why is one of your delivery drivers playing their music so loud I can hear it from across the street with doors &amp; windows closed,other
@AmazonHelp But the products still shows under exchange,return_refund
@AmazonHelp No technicians came to check the phone. Now what should I do with this defective piece that you have supplied.,device_product
"Again same thing happened @115850 
Product not received still saying delivered https://t.co/I18nQCHK51",missing_delivery
@AmazonHelp I didn't get my Voucher details and customer care is playing with me by giving different statements. Worst service. @7189 https://t.co/cQtVjdpogW,promotion
Now ANOTHER Prime order from @115821 is not being delivered within the Prime window. It's taking an extra week. WHY DID I BUY PRIME?!,missing_delivery
I just have to say – fuck Amazon Prime Now couriers. I just had the worst experience with one over the phone and he canceled my order,order_issue
"@AmazonHelp Thursday, November 9, last week. 😕",other
@115850 bought oneplus 5 but I didn't get Kindle and amazing prime offer....my login I'd __email__,promotion
"@AmazonHelp Thanks, just refund the amount.. Last hopes on Amazon..
Harish 
M-9986887441",return_refund
"@AmazonHelp Have spotted one there am interested in, Can I arrange delivery to an address that is different from my usual home and billing address",shipping_information
@AmazonHelp Is there an email I can contact?,other
"@AmazonHelp Un libro (previsto per lunedì) è arrivato oggi, l'altro (forse) martedì. 
Grazie comunque per l'aiuto!!",delivery_tracking
"@120540 ma è mai possibile che i prodotti sul dash button sono sempre non disponibili Dash, Pampers, Ace etc etc e che c.....",other
@AmazonHelp はい！わざわざありがとうございました！,other
"Dear @115821 ,

Your search algorithms for women’s shoes aren’t working. Filters aren’t refining data properly. It’s a hot mess, and I can’t find what I need. 

Please fix this so I can buy shoes!

Sincerely,

A frustrated customer

@115851 @52240",order_issue
"@AmazonHelp @120533 @AmazonHelp en 1-2 le mail, en 3 votre site lorsque je veux me connecter (je n'ai plus utilisé ce compte depuis quelques années https://t.co/zD48CHw1yG",account_issue
@AmazonHelp Laposte,shipping_information
@AmazonHelp please help with my carrier/delivery issue!!!!!!,shipping_information
Amazon fucked up and delivers my package to another house😑,missing_delivery
@AmazonHelp Nobody has got back to me yet,other
"@AmazonHelp Order still stuck.  Let me start this over, would you care to help me with my stuck order @AmazonHelp ? https://t.co/Ko0q88U7mR",order_issue
@AmazonHelp Leider reagiert meine @118117-Playbase nicht mehr korrekt auf Alexa (Echo). Es gab ein Update von Sonos. Problem bekannt?,device_product
"@115850 being a Prime customer, extremely disappointed with your service. Fraudulent delivery attempt, raised issue on Customer Support still issue not resolved",missing_delivery
HEY AMAZON WHERE ARE MY HEADPHONES AND STICKER,missing_delivery
"@AmazonHelp 11-21 dic, el problema no es la fecha de entrega, es la fecha de envío",shipping_information
"@AmazonHelp u cn check the detail frm d detail i hve provided last time.

do u use bigdata or BI ? search d detail. I dont want 2 fill frm again &amp; again",other
@AmazonHelp It did.  But it’s daylight #savingnotsavings,other
@AmazonHelp @115851 @120781 @7957 @2246 @AmazonHelp @115821 @115830 @115851  I know you have done nothing to resolve the technical issue with my account but still have sent an email to your team. If only you can do something at least to get this issue resolved as I have been harassed enough by you.,account_issue
@115821 my wife’s account is locked and she can’t contact anyone for help. Is there a phone number she can call?,account_issue
@AmazonHelp Intact même après avoir marché dessus 😅 Pas de soucis de ce côté.,other
@AmazonHelp boa tarde. voces auxiliam em entrega que será feita pelos Correios?,shipping_information
"@AmazonHelp はい！
ご丁寧にありがとうございます！",other
"@AmazonHelp Je vais les contacter tout de suite, merci de votre aide 😀😀",other
@115850 tum logo se kucha nahi ho skta 28 sep ko order place kiya aur aaj 7 oct hai tumhaare bas ki nahi,missing_delivery
@AmazonHelp It's like this since 3rd Oct. No updates. https://t.co/bVasEBAobs,delivery_tracking
@AmazonHelp There was no reason for the order to not be delivered.  Do not contact me further in this matter.,missing_delivery
@116875 Mejor preocupen por entregar lo del buen fin.... seguro que con el pretexto del Black Friday se tardarán aún más con mi pedido. Ya una semana y nada de nada.,missing_delivery
@AmazonHelp リプライありがとうございます。コミネのネオプレーンハンドルウォーマーを購入したところ左右一組ではなく左が二つのものが届いてしまいました。開封してから気付いてしまったのですが返品、交換したいのですがこの場合どうすればよいでしょうか？,return_refund
"@115821 I really want to buy the Echo. But sending me a mail every week, to say faintly that it is not being shipped to Belgium, does not make me happy. https://t.co/yLtKNkN58a",shipping_information
@115850 Why don’t you have all the color options? 🤔 https://t.co/yNEUPpdgRM,shipping_information
"@AmazonHelp Thurs, I ordered stuff from 3 different retailers. 1 item has arrived and 1 dispatched yesterday. @115830 still in warehouse!!",delivery_tracking
Trying to go through my Kindle books online on @115821 and every few minutes a FULL PAGE AD for that echo thing takes over. I HATE THAT,device_product
"@AmazonHelp Some of the ""X-Ray Lyrics"" that accompany songs in the app are incorrect. When I spot these, is there a way for me to suggest changes?",other
@AmazonHelp @AmazonHelp u have d habbit of missing everything,other
"@115850, your service is the worst, even after taking prime service , making pre-payment along with extra payment for on-time deliver, you only deliver the product when you want !!! You affected my deliverables...",missing_delivery
"@AmazonHelp Today, and it got here today but I ordered it, with Prime, on Monday",delivery_tracking
@AmazonHelp So basically my Samsung battery would've exploded on my face if I hadn't checked and I bought that battery just 4 months ago,device_product
"@116875 y no son las paqueterias por que he pedido particulares y no he tenido ningún problema, siempre es @116875",other
I think I'm done ordering games from @115821 almost ever time I do it comes in damaged or UPS will lose my package like they just did with my #XenobladeChronicles2. I'm so pissed off I was really looking forward to this game after work...,missing_delivery
"Pues aquí no ha llegao ni Peter. Otro gran servicio del binomio @116928 - @4496. Ah, y lleva en reparto desde las 10 de la mañana. 12 horas para recorrer 16km. Flipas.",delivery_tracking
"@AmazonHelp ""Livraison prévue aujourd'hui avant 20h                                          
  Estimation initiale : jeu. 23 nov. """,delivery_tracking
Come on @115830 not a happy customer!! Ordered lime green car mats and received these this morning! I've sent a msg to the seller!! 😡😡grrr https://t.co/TZmrCSvO0P,order_issue
"@AmazonHelp ""With the local courier"" they stop delivering in less than 10 minutes :(",shipping_information
@AmazonHelp Nothing is there in the link can please let me know when this product will be deliver,shipping_information
@AmazonHelp 了解いたしました。,other
@115830 @AmazonHelp yeah so why do I have to pay for a return for when I cancelled my pre order that you still sent me :/,return_refund
@AmazonHelp Tara 😂 grande fan dei vostri pacchi,other
@AmazonHelp Thanks! :),other
@115850 How many times do I have to suffer although I continue to buy from amazon? 2 items not delivered (later cancelled) due to wrong choice of transportation and 1 item not reverse picked although pickup promised 10 days back.Order# 403-7565104-7889934,return_refund
@115821 and Daily Market are infinitely useless thank you so much,other
@115850 ORDER # 402-9253917-5913966 - This order has NOT been delivered to me yet. Please check and fulfil the order delivery.,missing_delivery
.@115830 Please can you tell me how to stop the charge each month for amazon prime when I don't want it or use it? It's getting tedious now!,other
@AmazonHelp Il y a moyen vous echangez Watch Dogs 2 par BF1 sur le pack ps4 pro edition black friday ?,order_issue
"てかアマゾンプライムまじですごいな
アニメなんでも観れる",other
"@115830 Pre-ordered item in June, not delivered on date of publication, parcel received today, with no contents (empty envelope), and now told item will not be able to be delivered until 28th Dec.  The the hell is going on.",order_issue
Amazon Barいきたいな,other
"@AmazonHelp are you kidding me, i have already done that 3 times now, they have blocked me. they dont want to answer i think",other
Dear @AmazonHelp are you my ex? No? So why are you telling me you're late? https://t.co/TKGZ0UZpmY,delivery_tracking
j’ai passé une commande d’un miroir lumineux chez @120533 et surprise quand je recois mon colis tout est cassé et bah merci!!! Meme AliExpress ne m’ont jamais envoyé une catastrophe pareille. Je ne commanderai plus 🤬 @AmazonHelp,order_issue
@AmazonHelp Last night,other
@AmazonHelp But that only caused a password change but still the account is locked :(,account_issue
"@AmazonHelp a priori tout est OK et en bon état, après vous n'y etes pour rien, c'est plutot la poste qui merde pour changer",shipping_information
@AmazonHelp Danke für Nachfrage.,other
@115828 I'm just waiting for you guys to ship Ultra Moon. Order page said it would be yesterday but it still hasn't shipped.,delivery_tracking
@AmazonHelp Just whining into the void. Didn't expect the void to reply. :) Only a minor shipping delay. Will contact support if it doesn't arrive. Thx!,shipping_information
@AmazonHelp I just did but they are still not in my library,device_product
"@AmazonHelp for first time amazon failed to satisfy me! My items should be delivery within 5-8 days, now 7 days you didn’t even ship them!!!",missing_delivery
@115830 Received this today + look how damaged it is. No damage to external packaging so was packaged up and willing sent to us like this😐 https://t.co/dQHjpjtGmH,order_issue
@AmazonHelp The seller is yourselves!!,other
@AmazonHelp Expérience client désastreuse. Compte suspendu sans motif. Expérience inoubliable,account_issue
@AmazonHelp I have done this right away this is a message I get every time but no call let's wait for another 24. Hours and then will take my actions https://t.co/UujKMEEcCD,other
@AmazonHelp Ben pas de nouvelles encore,other
The level of hate I have for @AmazonHelp @115821 grows with each incorrect delivery. Learn to read a map. 😡,order_issue
@115850 what's happened to your after sales service?! I've been struggling to return a product for 4 days straight now. #Frustrated,return_refund
@116875 Este servicio “cash” aplica en México si quiero comprar un producto de Amazon USA?,payment_billing
@AmazonHelp This was the message from Amazon on my number,account_issue
I've been bamboozled... IVE NEVER FELT SO BETRAYED IN MY LIFE @115821 https://t.co/9j07Zx0OUT,other
@115830  come on Amazon sort your Muppet delivery drivers out.. https://t.co/Bt1PTgK0uC,other
@AmazonHelp はい。また注文したいので読めますが、コストかかりますがビニールに包むと滑りがいいので段ボールにいれるとき破れないんじゃと思います。,order_issue
@AmazonHelp @115851 I have received multiple responses from past 4 days but no soln. Bullying- neither the service nor the refund would be provided. https://t.co/PiuAkNBnHv,return_refund
@AmazonHelp Yep. I️ looked for it and it is no where to be found.,missing_delivery
@115821 That is BS @115821 saying that my @115890 Xbox One X console won’t be delivered until November 13 to the 17 is not right,delivery_tracking
@AmazonHelp I can't log in to my account to even do that. That's the issue. I have Zero access cause it's been hacked.,account_issue
"@AmazonHelp Usually they do, yes, and they’ve given me credits. They’re nice &amp; helpful. I’m just frustrated because lately 1/2 orders have been delayed.",delivery_tracking
@AmazonHelp 2nd gen,device_product
@AmazonHelp Correspondence very much on. But akin to octopi ink rather than serious effort to resolve. Standard email txts read like they are from bots.,other
Amazonがぁぁぁぁ https://t.co/vxBnxGVDku,other
@AmazonHelp I will do that today,return_refund
